date,알러지,대상포진,수족구병,장염,식중독,감기,인플루엔자,동상
2020-07-22,86,63,,74,45.0,71,0.0,79
2020-07-23,40,44,,74,0.0,70,0.0,71
2020-07-24,0,75,,85,0.0,80,0.0,61
2020-07-25,62,71,,71,0.0,45,0.0,0
2020-07-26,0,86,,83,0.0,63,0.0,0
2020-07-27,0,96,,58,62.0,61,0.0,99
2020-07-28,0,53,,63,64.0,60,0.0,0
2020-07-29,0,40,,89,0.0,69,0.0,56
2020-07-30,100,54,,73,41.0,75,0.0,0
2020-07-31,43,46,,85,46.0,72,0.0,73
2020-08-01,0,0,,55,0.0,54,,0
2020-08-02,62,54,,65,0.0,69,,0
2020-08-03,50,95,,100,0.0,43,,100
2020-08-04,63,100,,70,60.0,60,,66
2020-08-05,0,44,,53,64.0,47,,34
2020-08-06,61,47,,0,0.0,57,,34
2020-08-07,39,46,,54,100.0,75,,0
2020-08-08,49,42,,0,0.0,59,,0
2020-08-09,45,32,,81,0.0,100,,44
2020-08-10,38,53,,66,0.0,56,,38
2020-08-11,62,61,,91,0.0,40,,44
2020-08-12,66,32,,57,0.0,43,,0
2020-08-13,39,74,,50,66.0,59,,60
2020-08-14,0,46,,84,0.0,51,,40
2020-08-15,69,41,,0,0.0,59,,57
2020-08-16,71,46,,95,0.0,73,,48
2020-08-17,100,79,,50,78.0,67,,43
2020-08-18,59,62,,72,0.0,62,,55
2020-08-19,61,51,,73,72.0,71,,0
2020-08-20,47,63,,73,0.0,65,,35
2020-08-21,56,59,,36,0.0,79,,0
2020-08-22,45,52,,58,0.0,55,,0
2020-08-23,90,49,,52,0.0,76,,41
2020-08-24,0,58,,44,0.0,73,,0
2020-08-25,52,51,,59,58.0,64,,49
2020-08-26,0,46,,0,0.0,59,,0
2020-08-27,60,59,,36,67.0,73,,30
2020-08-28,87,58,,51,0.0,51,,40
2020-08-29,0,58,,63,0.0,78,,0
2020-08-30,56,69,,62,0.0,52,,0
2020-08-31,55,39,,39,0.0,64,,32
2020-09-01,69,71,,65,0.0,64,0.0,51
2020-09-02,55,64,,68,0.0,65,0.0,54
2020-09-03,40,65,,59,0.0,69,0.0,48
2020-09-04,72,61,,70,0.0,75,0.0,100
2020-09-05,80,79,,66,0.0,78,0.0,57
2020-09-06,69,38,,48,0.0,89,0.0,85
2020-09-07,62,57,,78,84.0,75,97.0,0
2020-09-08,62,97,,100,0.0,79,71.0,0
2020-09-09,53,91,,73,0.0,82,0.0,67
2020-09-10,94,64,,0,75.0,59,75.0,53
2020-09-11,57,94,,0,93.0,75,0.0,42
2020-09-12,88,58,,78,0.0,63,0.0,49
2020-09-13,55,73,,68,100.0,67,0.0,66
2020-09-14,72,76,,48,96.0,61,0.0,62
2020-09-15,47,68,,85,0.0,55,67.0,66
2020-09-16,71,85,,49,0.0,65,51.0,61
2020-09-17,51,69,,46,0.0,52,0.0,88
2020-09-18,69,51,,58,0.0,65,0.0,45
2020-09-19,77,51,,72,0.0,78,0.0,70
2020-09-20,100,49,,0,0.0,93,0.0,0
2020-09-21,94,94,,0,0.0,100,100.0,53
2020-09-22,80,73,,74,0.0,69,65.0,0
2020-09-23,80,100,,64,0.0,76,0.0,58
2020-09-24,40,50,,64,69.0,86,0.0,68
2020-09-25,96,65,,0,0.0,93,0.0,0
2020-09-26,90,78,,61,0.0,74,0.0,0
2020-09-27,54,70,,0,0.0,85,0.0,65
2020-09-28,69,82,,76,0.0,86,0.0,47
2020-09-29,72,63,,57,0.0,60,66.0,60
2020-09-30,91,66,,62,0.0,72,0.0,0
2020-10-01,79,84,,0,0.0,99,0.0,0
2020-10-02,0,58,,82,0.0,87,0.0,0
2020-10-03,60,91,,85,0.0,52,0.0,0
2020-10-04,78,52,,63,90.0,75,0.0,0
2020-10-05,40,81,,85,0.0,100,0.0,0
2020-10-06,52,42,,60,0.0,88,0.0,55
2020-10-07,66,60,,55,0.0,71,0.0,64
2020-10-08,53,51,,75,0.0,76,0.0,0
2020-10-09,55,82,,100,0.0,68,0.0,90
2020-10-10,50,57,,76,0.0,65,0.0,0
2020-10-11,0,73,,80,0.0,49,0.0,0
2020-10-12,57,74,,0,100.0,85,91.0,0
2020-10-13,50,66,,54,0.0,59,0.0,0
2020-10-14,40,77,,71,0.0,85,61.0,65
2020-10-15,0,78,,55,0.0,85,99.0,63
2020-10-16,100,65,,54,0.0,82,0.0,0
2020-10-17,52,66,,74,0.0,93,0.0,0
2020-10-18,48,57,,0,0.0,76,0.0,0
